2022-08-24T14:06:13.808,FD,18, 0, 0,90, 1, 1,    74,mavlink_scaled_imu2_t,time_boot_ms,7820661,xacc,2,yacc,17,zacc,-993,xgyro,0,ygyro,-1,zgyro,0,xmag,-135,ymag,101,zmag,906,temperature,5077,,sig ,Len,36,crc16,44586
2022-08-24T14:06:13.813,FD, E, 0, 0,91, 1, 1,    1D,mavlink_scaled_pressure_t,time_boot_ms,7820661,press_abs,1021,681,press_diff,0,temperature,4910,temperature_press_diff,0,,sig ,Len,26,crc16,62200
2022-08-24T14:06:13.823,FD,2D, 0, 0,92, 1, 1,    18,mavlink_gps_raw_int_t,time_usec,0,lat,0,lon,0,alt,-17000,eph,9999,epv,9999,vel,0,cog,0,fix_type,1,satellites_visible,0,alt_ellipsoid,0,h_acc,4294967295,v_acc,4294967295,vel_acc,1000000,hdg_acc,0,yaw,0,,sig ,Len,57,crc16,16354
2022-08-24T14:06:13.827,FD, B, 0, 0,93, 1, 1,     2,mavlink_system_time_t,time_unix_usec,0,time_boot_ms,7820661,,sig ,Len,23,crc16,11923
2022-08-24T14:06:13.834,FD,1C, 0, 0,94, 1, 1,    A3,mavlink_ahrs_t,omegaIx,-2,422128E-05,omegaIy,0,0004338521,omegaIz,-0,000536394,accel_weight,0,renorm_val,0,error_rp,0,0004059127,error_yaw,0,02837436,,sig ,Len,40,crc16,47840
2022-08-24T14:06:13.836,FD, 2, 0, 0,95, 1, 1,    A5,mavlink_hwstatus_t,Vcc,5041,I2Cerr,0,,sig ,Len,14,crc16,30373
2022-08-24T14:06:13.839,FD, 4, 0, 0,96, 1, 1,    A8,mavlink_wind_t,direction,-180,speed,0,speed_z,0,,sig ,Len,16,crc16,38645
2022-08-24T14:06:13.841,FD, 1, 0, 0,97, 1, 1,    88,mavlink_terrain_report_t,lat,0,lon,0,terrain_height,0,current_height,0,spacing,0,pending,0,loaded,0,,sig ,Len,13,crc16,62252
2022-08-24T14:06:13.847,FD,16, 0, 0,98, 1, 1,    C1,mavlink_ekf_status_report_t,velocity_variance,0,pos_horiz_variance,0,pos_vert_variance,0,compass_variance,0,terrain_alt_variance,0,flags,1024,airspeed_variance,0,,sig ,Len,34,crc16,31584
2022-08-24T14:06:13.852,FD,14, 0, 0,99, 1, 1,    F1,mavlink_vibration_t,time_usec,7820681481,vibration_x,0,01739875,vibration_y,0,01670786,vibration_z,0,02635672,clipping_0,0,clipping_1,0,clipping_2,0,,sig ,Len,32,crc16,45317
2022-08-24T14:06:13.863,FD,32, 0, 0,9A, 1, 1,    57,mavlink_position_target_global_int_t,time_boot_ms,7820681,lat_int,0,lon_int,0,alt,100,vx,0,vy,0,vz,0,afx,0,afy,0,afz,0,yaw,0,yaw_rate,0,type_mask,65016,coordinate_frame,0,,sig ,Len,62,crc16,53874
2022-08-24T14:06:13.866,FD, 4, 0, 0,9B, 1, 1,  2B0C,mavlink_aoa_ssa_t,time_usec,3525714225,AOA,0,SSA,0,,sig ,Len,16,crc16,41775
2022-08-24T14:06:14.723,FD, 9, 0, 0,9D, 1, 1,     0,mavlink_heartbeat_t,custom_mode,11,type,1,autopilot,3,base_mode,89,system_status,5,mavlink_version,3,,sig ,Len,21,crc16,50165
2022-08-24T14:06:14.730,FD,1C, 0, 0,9E, 1, 1,    1E,mavlink_attitude_t,time_boot_ms,7821641,roll,-0,0258534,pitch,0,02302831,yaw,-2,401423,rollspeed,0,02915731,pitchspeed,0,1565458,yawspeed,-0,06181304,,sig ,Len,40,crc16,24078
2022-08-24T14:06:14.737,FD,1C, 0, 0,9F, 1, 1,    21,mavlink_global_position_int_t,time_boot_ms,7821641,lat,0,lon,0,alt,-1770,relative_alt,-1774,vx,0,vy,0,vz,0,hdg,22241,,sig ,Len,40,crc16,50854
2022-08-24T14:06:14.745,FD,1F, 0, 0,A0, 1, 1,     1,mavlink_sys_status_t,onboard_control_sensors_present,325188655,onboard_control_sensors_enabled,272759855,onboard_control_sensors_health,51444751,load,18,voltage_battery,0,current_battery,-1,drop_rate_comm,0,errors_comm,0,errors_count1,0,errors_count2,0,errors_count3,0,errors_count4,0,battery_remaining,-1,,sig ,Len,43,crc16,18207
2022-08-24T14:06:14.747,FD, 2, 0, 0,A1, 1, 1,    7D,mavlink_power_status_t,Vcc,5045,Vservo,0,flags,0,,sig ,Len,14,crc16,31204
2022-08-24T14:06:14.750,FD, 7, 0, 0,A2, 1, 1,    98,mavlink_meminfo_t,brkval,0,freemem,65535,freemem32,571712,,sig ,Len,19,crc16,22177
2022-08-24T14:06:14.754,FD, C, 0, 0,A3, 1, 1,    3E,mavlink_nav_controller_output_t,nav_roll,0,nav_pitch,0,alt_error,101,76,aspd_error,0,xtrack_error,0,nav_bearing,0,target_bearing,0,wp_dist,0,,sig ,Len,24,crc16,10328
2022-08-24T14:06:14.757,FD, 1, 0, 0,A4, 1, 1,    2A,mavlink_mission_current_t,seq,0,,sig ,Len,13,crc16,41820
2022-08-24T14:06:14.762,FD,11, 0, 0,A5, 1, 1,    4A,mavlink_vfr_hud_t,airspeed,0,groundspeed,0,alt,-1,77,climb,0,heading,222,throttle,0,,sig ,Len,29,crc16,55775
2022-08-24T14:06:14.766,FD, C, 0, 0,A6, 1, 1,    24,mavlink_servo_output_raw_t,time_usec,3526674246,servo1_raw,1509,servo2_raw,1493,servo3_raw,1100,servo4_raw,1504,servo5_raw,0,servo6_raw,0,servo7_raw,0,servo8_raw,0,port,0,servo9_raw,0,servo10_raw,0,servo11_raw,0,servo12_raw,0,servo13_raw,0,servo14_raw,0,servo15_raw,0,servo16_raw,0,,sig ,Len,24,crc16,8175
